문항번호코드,문항설명
Q4C-16,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-17,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-18,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-19,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-20,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-21,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-22,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-23,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q4C-24,"다음 각각의 산림휴양·복지시설들에 대해 보거나 들어본 경험이 있다면, ‘알고 있다’에 체크해주시기 바랍니다.
또한, 각각의 시설별로 이용한 적이 있는지 여부와 향후 이용할 의향이 있는지 여부를 말씀해 주시기 바랍니다."
Q5,귀하께서는 자신의 전반적인 산림휴양·복지생활에 만족하십니까?
Q5-1-1,만족하지 못한다면 그 주된 이유는 무엇입니까? 순서대로 두 가지를 말씀해 주시기 바랍니다.
Q5-1-2,만족하지 못한다면 그 주된 이유는 무엇입니까? 순서대로 두 가지를 말씀해 주시기 바랍니다.
Q6-1,"다음은 삶의 만족에 대한 질문입니다. 우리의 삶은 개인적 측면, 관계적 측면, 집단적 측면으로 구분될 수 있습니다.
삶의 각 측면에서 귀하께서 중요하게 생각하시는 부분을 떠올려 보십시오. 귀하는 그러한 삶의 각 측면에 대해 얼마나 만족하십니까?
‘전혀 그렇지 않다(1점)’에서부터 ‘매우 그렇다(7점)’까지의 보기 중에서 귀하의 생각과 가장 가까운 번호를 말씀해 주십시오."
Q6-2,"다음은 삶의 만족에 대한 질문입니다. 우리의 삶은 개인적 측면, 관계적 측면, 집단적 측면으로 구분될 수 있습니다.
삶의 각 측면에서 귀하께서 중요하게 생각하시는 부분을 떠올려 보십시오. 귀하는 그러한 삶의 각 측면에 대해 얼마나 만족하십니까?
‘전혀 그렇지 않다(1점)’에서부터 ‘매우 그렇다(7점)’까지의 보기 중에서 귀하의 생각과 가장 가까운 번호를 말씀해 주십시오."
Q6-3,"다음은 삶의 만족에 대한 질문입니다. 우리의 삶은 개인적 측면, 관계적 측면, 집단적 측면으로 구분될 수 있습니다.
삶의 각 측면에서 귀하께서 중요하게 생각하시는 부분을 떠올려 보십시오. 귀하는 그러한 삶의 각 측면에 대해 얼마나 만족하십니까?
‘전혀 그렇지 않다(1점)’에서부터 ‘매우 그렇다(7점)’까지의 보기 중에서 귀하의 생각과 가장 가까운 번호를 말씀해 주십시오."
Q7-1,"다음은 지난 한 달 동안 귀하가 경험한 감정을 묻는 질문입니다. 지난 한 달 동안 무엇을 하며 지냈는지, 어떤 경험을 했는지를 생각해 주십시오.
그리고 나서 다음에 제시되는 감정들을 얼마나 자주 느꼈는지 ‘전혀 느끼지 않았다(1점)’에서부터 ‘항상 느꼈다(7점)’까지의 보기 중에서 번호를 말씀해 주십시오."
Q7-2,"다음은 지난 한 달 동안 귀하가 경험한 감정을 묻는 질문입니다. 지난 한 달 동안 무엇을 하며 지냈는지, 어떤 경험을 했는지를 생각해 주십시오.
그리고 나서 다음에 제시되는 감정들을 얼마나 자주 느꼈는지 ‘전혀 느끼지 않았다(1점)’에서부터 ‘항상 느꼈다(7점)’까지의 보기 중에서 번호를 말씀해 주십시오."
Q7-3,"다음은 지난 한 달 동안 귀하가 경험한 감정을 묻는 질문입니다. 지난 한 달 동안 무엇을 하며 지냈는지, 어떤 경험을 했는지를 생각해 주십시오.
그리고 나서 다음에 제시되는 감정들을 얼마나 자주 느꼈는지 ‘전혀 느끼지 않았다(1점)’에서부터 ‘항상 느꼈다(7점)’까지의 보기 중에서 번호를 말씀해 주십시오."
Q7-4,"다음은 지난 한 달 동안 귀하가 경험한 감정을 묻는 질문입니다. 지난 한 달 동안 무엇을 하며 지냈는지, 어떤 경험을 했는지를 생각해 주십시오.
그리고 나서 다음에 제시되는 감정들을 얼마나 자주 느꼈는지 ‘전혀 느끼지 않았다(1점)’에서부터 ‘항상 느꼈다(7점)’까지의 보기 중에서 번호를 말씀해 주십시오."
Q7-5,"다음은 지난 한 달 동안 귀하가 경험한 감정을 묻는 질문입니다. 지난 한 달 동안 무엇을 하며 지냈는지, 어떤 경험을 했는지를 생각해 주십시오.
그리고 나서 다음에 제시되는 감정들을 얼마나 자주 느꼈는지 ‘전혀 느끼지 않았다(1점)’에서부터 ‘항상 느꼈다(7점)’까지의 보기 중에서 번호를 말씀해 주십시오."
Q7-6,"다음은 지난 한 달 동안 귀하가 경험한 감정을 묻는 질문입니다. 지난 한 달 동안 무엇을 하며 지냈는지, 어떤 경험을 했는지를 생각해 주십시오.
그리고 나서 다음에 제시되는 감정들을 얼마나 자주 느꼈는지 ‘전혀 느끼지 않았다(1점)’에서부터 ‘항상 느꼈다(7점)’까지의 보기 중에서 번호를 말씀해 주십시오."
Q8A,다양한 산림휴양 복지시설을 확대해야 한다.
Q8B,질 좋은 프로그램의 개발 및 보급 확대가 중요하다.
Q8C,프로그램과 시설 운영 인력 확대 및 전문성 강화가 중요하다.
Q8D,산림복지 관련 기관 단체의 육성 및 지원 확대가 중요하다.
Q8E,소외계층을 대상으로 지원을 확대해야 한다.
Q8F,보다 나은 서비스를 위해 법규와 제도를 개선해야 한다.
Q8G,서비스 이용 부담 비용을 경감해야 한다.
Q8H,산림휴양·복지 관련 연구개발(R&D)을 강화해야 한다.
Q8A-1,귀하는 확대되어야 할 시설은 무엇이라고 생각하십니까? 중요한 순서대로 두 가지만 말씀해 주십시오.
Q8A-2,귀하는 확대되어야 할 시설은 무엇이라고 생각하십니까? 중요한 순서대로 두 가지만 말씀해 주십시오.
Q8B-1,귀하는 가장 먼저 개발 및 보급이 확대되어야 할 프로그램은 무엇이라고 생각하십니까?
Q8C-1,귀하는 전문가의 전문성 강화를 위해 가장 필요하다고 생각하시는 것은 무엇입니까?
Q8D-1,귀하는 가장 먼저 확대되어야 할 기관·단체 육성·지원 사업은 무엇이라고 생각하십니까?
Q8E-1,귀하는 가장 먼저 확대되어야 할 소외계층 지원 사업은 무엇이라고 생각하십니까?
Q8F-1,산림휴양·복지활동과 관련해서 개선되어야 할 법규와 제도가 있으시면 한 가지만 말씀해 주시기 바랍니다.
Q8G-1,귀하는 가장 효과적인 이용 비용 부담 경감 방안은 무엇이라고 생각하십니까?
Q8H-1,귀하는 가장 시급히 강화해야 할 연구 개발(R&D)은 무엇이라고 생각하십니까?
